ID,Vendor,Country,Shipment Mode,Weight (Kilograms),Freight Cost (USD),Line Item Value,Line Item Quantity,Unit Price,Scheduled Delivery Date,Delivered to Client Date,delay_days,is_delayed,delay_probability,risk_category
14846,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Congo, DRC",Air,113.0,2570.86,1849.2,60,0.1,2013-04-16 00:00:00,2013-04-16 00:00:00,0,0,0.004,LOW
14871,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,Air,1961.0,7308.37,3714.9,1769,0.04,2013-03-13 00:00:00,2013-03-13 00:00:00,0,0,0.031,LOW
14874,ASPEN PHARMACARE,South Africa,Air,1047.0,7707.42,392080.0,26000,0.06,2010-10-06 00:00:00,2010-10-06 00:00:00,0,0,0.069,LOW
14929,PHARMACY DIRECT,South Africa,Truck,1047.0,,342.83,9,1.27,2015-07-15 00:00:00,2015-07-15 00:00:00,0,0,0.001,LOW
14931,SWORDS LABORATORIES,Rwanda,Air,282.0,1028.1,43869.6,1080,0.68,2015-05-12 00:00:00,2015-05-12 00:00:00,0,0,0.007,LOW
14941,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Tanzania,Air,1081.0,5834.1,179100.0,9000,0.66,2010-10-22 00:00:00,2010-10-22 00:00:00,0,0,0.006,LOW
14943,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Uganda,Air,19.0,435.0,3750.0,75,0.28,2010-03-04 00:00:00,2010-03-04 00:00:00,0,0,0.001,LOW
14970,BRISTOL-MYERS SQUIBB,Haiti,Air,1047.0,,2417.28,192,0.06,2010-08-05 00:00:00,2010-08-05 00:00:00,0,0,0.002,LOW
14988,"Orgenics, Ltd",South Sudan,Air,181.0,4978.09,29993.0,337,0.89,2012-06-15 00:00:00,2012-06-15 00:00:00,0,0,0.017,LOW
15004,S. BUYS WHOLESALER,South Africa,Truck,1047.0,,11964.63,599,0.08,2009-08-05 00:00:00,2009-08-05 00:00:00,0,0,0.007,LOW
15005,"Trinity Biotech, Plc",Nigeria,Air,2607.0,28595.45,256576.0,8018,1.6,2012-09-18 00:00:00,2012-09-18 00:00:00,0,0,0.005,LOW
15011,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Rwanda,Air,1047.0,,168734.44,9653,0.58,2010-12-12 00:00:00,2010-12-12 00:00:00,0,0,0.005,LOW
15012,Aurobindo Pharma Limited,South Africa,Ocean,127.0,47101.63,17899.6,2452,0.12,2011-08-15 00:00:00,2011-08-15 00:00:00,0,0,0.183,LOW
15046,PHARMACY DIRECT,South Africa,Truck,1047.0,,71.03,6,0.39,2015-08-24 00:00:00,2015-08-24 00:00:00,0,0,0.0,LOW
15051,"Trinity Biotech, Plc",Guyana,Air,876.0,8969.97,88608.0,2769,1.6,2012-09-25 00:00:00,2012-09-25 00:00:00,0,0,0.001,LOW
15115,"Trinity Biotech, Plc","Congo, DRC",Air,112.0,3196.31,1088.0,34,1.6,2014-09-05 00:00:00,2014-09-05 00:00:00,0,0,0.0,LOW
15131,"Orgenics, Ltd",Zambia,Air,2606.0,38354.26,480000.0,6000,0.8,2013-09-11 00:00:00,2013-09-11 00:00:00,0,0,0.135,LOW
15142,Aurobindo Pharma Limited,South Africa,Air,993.0,4263.07,53751.7,11510,0.16,2010-09-07 00:00:00,2010-09-07 00:00:00,0,0,0.052,LOW
15149,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,Air,2806.0,18207.5,40000.0,20000,0.03,2011-06-22 00:00:00,2011-06-22 00:00:00,0,0,0.023,LOW
15176,Aurobindo Pharma Limited,South Africa,Ocean,1047.0,,54120.0,12000,0.15,2010-10-12 00:00:00,2010-12-15 00:00:00,64,1,0.514,MEDIUM
15195,IDIS LIMITED,Guyana,Air,59.0,180.0,12501.0,270,0.77,2011-03-04 00:00:00,2011-03-04 00:00:00,0,0,0.001,LOW
15240,Aurobindo Pharma Limited,Haiti,Air,300.0,2949.23,2561.25,375,0.03,2014-07-18 00:00:00,2014-07-18 00:00:00,0,0,0.005,LOW
15241,S. BUYS WHOLESALER,South Africa,Truck,1047.0,,21995.87,1368,0.54,2013-04-16 00:00:00,2013-04-16 00:00:00,0,0,0.013,LOW
15248,Aurobindo Pharma Limited,Vietnam,Air,2011.0,11648.31,181745.0,16300,0.19,2010-03-15 00:00:00,2010-03-15 00:00:00,0,0,0.027,LOW
15283,"Trinity Biotech, Plc",Nigeria,Air,1255.0,15794.47,117184.0,3662,1.6,2011-07-19 00:00:00,2011-07-19 00:00:00,0,0,0.017,LOW
15298,PHARMACY DIRECT,South Africa,Truck,1047.0,,99.53,7,0.47,2015-05-12 00:00:00,2015-05-12 00:00:00,0,0,0.0,LOW
15352,Aurobindo Pharma Limited,Vietnam,Air,437.0,1222.31,858.4,464,0.01,2013-01-29 00:00:00,2013-01-29 00:00:00,0,0,0.007,LOW
15356,"Trinity Biotech, Plc",Sudan,Air,12.0,646.81,1120.0,35,1.6,2012-02-08 00:00:00,2012-02-08 00:00:00,0,0,0.005,LOW
15368,Aurobindo Pharma Limited,Vietnam,Air,3536.0,20910.43,58752.0,24480,0.04,2010-03-19 00:00:00,2010-03-19 00:00:00,0,0,0.082,LOW
15382,"Orgenics, Ltd",Mali,Air,37.0,2190.78,6480.0,81,0.8,2013-06-11 00:00:00,2013-06-11 00:00:00,0,0,0.004,LOW
15399,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Nigeria,Air,574.0,4760.43,65000.0,10000,0.11,2013-12-17 00:00:00,2013-12-17 00:00:00,0,0,0.005,LOW
15405,CIPLA LIMITED,Rwanda,Air,1047.0,,41228.6,1202,0.29,2011-01-07 00:00:00,2011-01-07 00:00:00,0,0,0.008,LOW
15423,"Orgenics, Ltd",Côte d'Ivoire,Air,577.0,9275.59,112000.0,1400,0.8,2014-01-23 00:00:00,2014-01-23 00:00:00,0,0,0.03,LOW
15460,HETERO LABS LIMITED,Haiti,Ocean,17826.0,20526.23,170159.22,36831,0.15,2015-04-09 00:00:00,2015-04-09 00:00:00,0,0,0.065,LOW
15499,"Trinity Biotech, Plc",Tanzania,Air,2753.0,25485.81,270720.0,8460,1.6,2013-04-30 00:00:00,2013-04-30 00:00:00,0,0,0.018,LOW
15554,Aurobindo Pharma Limited,South Africa,Air,838.0,4876.31,6810.3,2162,0.01,2010-12-13 00:00:00,2010-12-11 00:00:00,-2,0,0.051,LOW
15596,"Orgenics, Ltd",Zimbabwe,Air,1113.0,20082.38,187360.0,2342,0.8,2012-03-20 00:00:00,2012-03-20 00:00:00,0,0,0.173,LOW
15619,S. BUYS WHOLESALER,South Africa,Truck,1047.0,,1923.5,115,0.56,2014-08-27 00:00:00,2014-08-27 00:00:00,0,0,0.001,LOW
15625,"Orgenics, Ltd",Mozambique,Air,1914.0,13489.96,376640.0,4708,0.8,2014-09-10 00:00:00,2014-09-10 00:00:00,0,0,0.061,LOW
15642,CIPLA LIMITED,Rwanda,Air,4354.0,,85269.8,2486,0.29,2011-02-09 00:00:00,2011-02-09 00:00:00,0,0,0.029,LOW
15643,"Trinity Biotech, Plc",Nigeria,Air,793.0,7938.18,64000.0,2000,1.6,2011-12-13 00:00:00,2011-12-13 00:00:00,0,0,0.0,LOW
15656,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Cameroon,Air,1047.0,,6660.0,120,0.92,2015-08-26 00:00:00,2015-08-26 00:00:00,0,0,0.005,LOW
15670,Aurobindo Pharma Limited,Cameroon,Air,3642.0,31434.31,77838.75,34595,0.04,2013-10-18 00:00:00,2013-10-26 00:00:00,8,1,0.395,MEDIUM
15687,Aurobindo Pharma Limited,South Africa,Air,3206.0,2154.51,25422.0,8474,0.01,2010-08-24 00:00:00,2010-08-24 00:00:00,0,0,0.109,LOW
15695,STRIDES ARCOLAB LIMITED,Ethiopia,Air,3652.0,15236.52,241278.52,71596,0.06,2010-02-09 00:00:00,2010-02-09 00:00:00,0,0,0.054,LOW
15726,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Rwanda,Air,4810.0,27894.81,581159.7,46530,0.21,2012-08-07 00:00:00,2012-08-07 00:00:00,0,0,0.028,LOW
15727,NOVARTIS PHARMA SERVICES AG,Nigeria,Air,711.0,5433.21,39000.0,1000,0.05,2011-09-23 00:00:00,2011-09-23 00:00:00,0,0,0.008,LOW
